fc_id,em_id,label_x
TH-F-000009,1378251040,0.6
TH-F-000010,360591860,0.6
TH-F-000012,487144598,0.0
TH-F-000019,5813027592,0.5
TH-F-000036,859265651,0.0
TH-F-000046,604289581,0.0
TH-F-000046,550404663,0.1
TH-F-000079,1378251040,0.1
TH-F-100005,1378251040,0.0
TH-F-100005,5813054384,0.8
TH-F-100075,859265651,0.0
TH-F-200004,859265651,0.0
TH-F-200010,331662710,1.0
TH-F-200034,331662710,1.0
TH-F-200085,1131827390,0.8
TH-F-300037,331662710,1.0
TH-F-300046,1131827390,0.8
TH-F-700015,1224941044,0.9
TH-M-000029,510049477,0.6
TH-M-000030,792692885,0.1
TH-M-000045,331662710,1.0
TH-M-100027,947573616,0.2
TH-M-100027,5813054384,0.7
TH-M-100057,1198330286,0.8
TH-M-200034,5813054384,0.8
TH-M-200034,947573616,0.2
TH-M-200049,331662710,1.0
TH-M-300063,5813009595,0.8
Trh-F-100001,1225290633,0.6
Trh-M-000172,1671638278,0.9
Trh-M-100025,1225290633,0.6
Trh-M-100060,297230760,0.8
Trh-M-100060,361312808,0.9
Trh-M-100071,673746277,0.2
Trh-M-200043,5813054716,0.4
Trh-M-300071,977339122,0.7
Trh-M-500163,922354084,0.9
Trh-M-500163,829598814,0.9
VGlut-F-000111,5812987694,0.4
VGlut-F-000158,5813020785,0.6
VGlut-F-000177,5813056321,0.8
VGlut-F-100125,1107081827,0.8
VGlut-F-200036,5813059915,0.3
VGlut-F-200459,5813011119,0.8
VGlut-F-400049,297917475,0.8
VGlut-F-400184,1762359683,0.0
VGlut-F-400184,1667251683,0.5
VGlut-F-400757,5813039309,0.0
VGlut-F-400757,1670597533,0.0
VGlut-F-400898,1762359683,0.0
VGlut-F-400898,1916800213,0.0
VGlut-F-500335,1762359683,0.0
VGlut-F-500335,5813039309,0.0
VGlut-F-500876,1640555311,0.0
VGlut-F-500876,1639886198,0.0
VGlut-F-700261,5813057579,0.4
VGlut-F-800130,1671620613,0.6
fru-F-000131,360591860,0.7
fru-F-000131,298258611,0.8
fru-F-000131,5812980529,0.8
fru-M-000335,673776769,0.7
fru-M-000339,329289084,0.8
fru-M-000339,452029745,0.8
fru-M-300299,579268807,0.8
npf-M-300037,5813069630,0.9
Cha-F-000088,1670597533,0.6
Cha-F-000239,1672320134,0.0
Cha-F-000239,5813069085,0.0
Cha-F-000239,1704347707,0.0
Cha-F-200299,5813023322,0.3
Cha-F-200299,5813098368,0.3
Cha-F-300344,5813047970,0.7
Cha-F-300344,951916894,0.7
Cha-F-400237,1321564092,0.5
Cha-F-400237,951234513,0.0
Cha-F-800090,361312808,0.0
Cha-F-800090,487144598,0.0
Cha-F-800090,329897255,0.0
Gad1-F-000694,5813070613,0.0
Gad1-F-000694,5813057853,0.0
Gad1-F-000694,1383016399,0.0
Gad1-F-000703,421641859,0.0
Gad1-F-000703,360259229,0.0
Gad1-F-200186,1702306037,0.0
Gad1-F-200186,5813039309,0.0
Gad1-F-200186,5813034455,0.6
TH-F-000009,1406911688,0.5
TH-F-000010,298258611,0.6
TH-F-000019,675767414,0.0
TH-F-000019,510049477,0.0
TH-M-000029,675767414,0.0
TH-M-000032,675767414,0.0
TH-M-000032,611629428,0.3
TH-M-100027,5813057579,0.0
TH-M-100027,797442049,0.0
TH-M-100027,5813021583,0.0
TH-M-200034,5813021112,0.4
TH-M-200034,1406911688,0.0
TH-M-200034,797442049,0.0
TH-M-200035,387870860,0.0
TH-M-300017,5813021112,0.2
TH-M-300017,1406911688,0.3
Trh-M-100025,673746277,0.0
Trh-M-100060,297251714,0.2
Trh-M-500163,5813033196,0.7
Trh-M-700039,797442049,0.2
VGlut-F-000111,5813057579,0.0
VGlut-F-000158,328870472,0.0
VGlut-F-000158,298612190,0.0
VGlut-F-000158,5813078542,0.0
VGlut-F-200036,947573616,0.0
VGlut-F-200062,329225149,0.0
VGlut-F-200062,361312808,0.0
VGlut-F-200062,329897255,0.0
VGlut-F-200143,298254384,0.0
VGlut-F-200143,5813020785,0.0
VGlut-F-400184,1704347707,0.0
VGlut-F-400757,1640555311,0.0
VGlut-F-400757,1762359683,0.0
VGlut-F-400898,1702306037,0.0
VGlut-F-500876,5813039309,0.0
VGlut-F-700261,5813021112,0.0
VGlut-F-700541,5813039309,0.0
VGlut-F-700541,1702306037,0.0
VGlut-F-800130,1640887603,0.0
VGlut-F-800130,1578826464,0.0
VGlut-F-800130,1640922754,0.0
Cha-F-800086,579916831,0.0
Cha-F-800086,5812981543,0.9
E0585-F-200015,457175171,0.8
E0585-F-200015,518899665,0.4
E0585-F-300042,457175171,0.8
E0585-F-300042,642664141,1.0
fru-F-400338,1141678665,0.8
fru-F-400338,1205090786,0.8
fru-F-400437,1173745330,0.8
fru-F-400437,1141678665,0.8
fru-F-400475,5901203987,0.0
fru-F-400475,519591210,0.0
fru-F-500297,1051630846,0.9
fru-F-500297,948035783,0.0
fru-F-500435,1142011140,0.6
fru-F-500435,1510648834,0.0
fru-F-500584,862705904,0.8
fru-F-500584,1205090786,0.8
fru-F-600168,1101133698,0.0
fru-F-600168,977343309,0.0
fru-F-600186,609587511,0.0
fru-F-600186,550280614,0.0
fru-F-700245,1204175835,0.9
fru-F-700245,1100792636,0.0
fru-F-700257,1141337605,0.4
fru-F-700257,1224258912,0.0
fru-M-400362,955464899,0.6
fru-M-400362,1469403612,0.5
fru-M-400401,955464899,0.7
fru-M-400401,829261936,0.6
fru-M-500374,737832306,0.0
fru-M-500374,1224258912,0.0
fru-M-500377,1100792636,0.0
fru-M-500377,5813057274,0.0
fru-M-500383,5813034306,0.5
fru-M-500383,1205090786,0.7
fru-M-700270,1204175835,0.9
fru-M-700270,1510648834,0.3
Gad1-F-001409,1610224198,0.0
Gad1-F-001409,1641250106,0.0
Gad1-F-101173,5813020585,0.0
Gad1-F-101173,5813020455,0.0
Gad1-F-200227,5813022201,0.8
Gad1-F-200227,860983686,0.8
Gad1-F-300153,1224258912,0.0
Gad1-F-300153,1224945418,0.0
Gad1-F-300154,517854468,0.8
Gad1-F-300154,423774471,0.8
Gad1-F-300275,702389193,0.0
Gad1-F-300309,955464899,0.8
Gad1-F-300309,862705904,0.8
Gad1-F-301525,422682603,0.7
Gad1-F-301525,1419019956,0.7
Gad1-F-301704,424789697,0.0
Gad1-F-301704,760686202,0.0
Gad1-F-400259,518899665,0.0
Gad1-F-400259,296543992,0.0
Gad1-F-400718,1266871604,0.7
Gad1-F-400718,673518025,0.0
Gad1-F-400957,1262114202,0.6
Gad1-F-400957,1261423370,0.6
Gad1-F-402516,829261936,0.9
Gad1-F-402516,862705904,0.9
Gad1-F-500136,946641153,0.0
Gad1-F-500136,1290416713,0.0
Gad1-F-500365,613719036,0.8
Gad1-F-500365,768555687,0.8
Gad1-F-500524,1173045815,0.9
Gad1-F-500524,1141337605,0.9
Gad1-F-500559,5813022201,0.7
Gad1-F-500559,1171690479,0.9
Gad1-F-502126,1142365351,0.9
Gad1-F-502126,956138930,0.9
Gad1-F-600109,1670278227,0.0
Gad1-F-600109,1510648834,0.0
Gad1-F-600115,946641153,0.0
Gad1-F-600345,922810839,0.0
Gad1-F-600345,5813077405,0.0
Gad1-F-601324,5812980638,0.0
Gad1-F-601324,1172372382,0.0
Gad1-F-700131,613719036,0.8
Gad1-F-700131,673085197,0.8
Gad1-F-800094,1198330641,0.0
Gad1-F-800094,1290416713,0.0
Gad1-F-900194,1448929233,0.0
Gad1-F-900194,1193560072,0.0
VGlut-F-300680,5813020585,0.6
VGlut-F-300680,1322474586,0.6
VT0765-F-700001,613079053,0.3
VT0765-F-700001,486544396,0.0
VT16811-F-700000,1078693835,0.0
VT16811-F-700000,1729935421,0.0
VT24618-F-700000,5813058048,0.0
VT24618-F-700000,299082033,0.0
VT38815-F-700000,799586652,0.0
VT38815-F-700000,1640555311,0.0
VT38815-F-700001,799586652,0.0
VT38815-F-700001,485745069,0.0
VT43401-F-700002,575768294,0.0
VT43401-F-700002,5813020673,0.0
VT50245-F-700000,5813058316,0.0
VT50245-F-700000,700486220,0.0
VT50245-F-700001,612414168,0.0
VT50245-F-700001,674807824,0.0
VT50733-F-700000,919763043,0.0
VT50733-F-700000,519046655,0.0
VT58722-F-700000,549282467,0.6
VT58722-F-700000,326253554,0.4
VT58722-F-700001,673509195,0.0
VT58722-F-700001,946990515,0.0
VT5948-F-700000,422725634,0.8
VT5948-F-700000,519279166,0.0
VT5948-F-700001,422725634,0.6
VT5948-F-700001,736174181,0.0
