fc_id,em_id,label_x,label_y,_merge
Trh-M-100037,704699661,0.0,0.0,both
Trh-M-700039,456847100,0.0,0.0,both
TH-F-000012,579912201,0.0,0.0,both
Trh-F-100066,5813009620,0.0,0.0,both
Trh-F-100001,614081151,0.0,0.0,both
Trh-M-100025,5813057861,0.0,0.0,both
fru-F-000131,297925608,0.0,0.0,both
Trh-F-000008,704699661,0.0,0.0,both
Trh-M-100037,1727979406,0.0,0.0,both
VGlut-F-100125,1135837629,0.0,0.0,both
VGlut-F-400334,736860990,0.0,0.0,both
TH-F-200096,387568523,0.0,0.0,both
Trh-F-100038,693927941,0.0,0.0,both
Trh-M-100025,5813060787,0.0,0.0,both
VGlut-F-000303,698569644,0.0,0.0,both
Trh-F-100001,642694410,0.0,0.0,both
VGlut-F-100003,704699661,0.0,0.0,both
VGlut-F-000177,1479156699,0.0,0.0,both
TH-F-000010,331774819,0.0,0.0,both
TH-F-000010,543821838,0.0,0.0,both
VGlut-F-700261,1352684733,0.0,0.0,both
TH-M-300005,1036637638,0.0,0.0,both
VGlut-F-100125,640194409,1.0,1.0,both
TH-F-100050,1160073701,0.0,0.0,both
TH-M-000008,581746661,0.0,0.0,both
VGlut-F-400334,5813011660,0.0,0.0,both
TH-F-200081,387568523,0.0,0.0,both
VGlut-F-200251,424793122,0.0,0.0,both
TH-F-100050,975197713,0.0,0.0,both
Cha-F-500071,828455033,1.0,1.0,both
Gad1-F-500004,5813021943,0.0,0.0,both
TH-M-200035,5813021943,0.0,0.0,both
VGlut-F-100003,693927941,0.0,0.0,both
Trh-M-100037,693927941,0.0,0.0,both
TH-F-300078,667266529,0.0,0.0,both
TH-F-100036,331774819,0.0,0.0,both
VGlut-F-000177,515049524,0.0,0.0,both
Cha-F-500071,764377593,0.0,0.0,both
Trh-F-000008,1727979406,0.0,0.0,both
Trh-F-000008,693927941,0.0,0.0,both
VGlut-F-700261,5813040277,0.0,0.0,both
Trh-M-100037,5812982656,0.0,0.0,both
TH-M-100063,1572390197,0.0,0.0,both
VGlut-F-700261,859839499,0.0,0.0,both
VGlut-F-400334,5812980494,0.0,0.0,both
VGlut-F-100003,5812982656,0.0,0.0,both
TH-M-100057,1572390197,0.0,0.0,both
TH-M-000008,611693656,0.0,0.0,both
VGlut-F-000177,1354368623,0.0,0.0,both
fru-F-000131,328265389,0.0,0.0,both
Trh-F-100038,5812982656,0.0,0.0,both
TH-M-100057,5813069496,0.0,0.0,both
Cha-F-300267,328601956,0.0,0.0,both
Gad1-F-500004,5813057153,0.0,0.0,both
Trh-F-000008,5812982656,0.0,0.0,both
Cha-F-500071,1013346945,0.0,0.0,both
Cha-F-000329,5813078595,0.0,0.0,both
Gad1-F-500004,452953198,0.0,0.0,both
TH-M-200035,452953198,0.0,0.0,both
TH-M-200035,696850811,0.0,0.0,both
TH-M-100057,925241334,0.0,0.0,both
TH-M-000008,520617773,0.0,0.0,both
Trh-F-100038,549597974,0.0,0.0,both
TH-M-100057,1048250312,0.0,0.0,both
fru-F-000131,543821838,0.0,0.0,both
TH-F-200034,327937328,0.0,0.0,both
fru-F-000131,391496898,0.0,0.0,both
Gad1-F-500004,544046671,0.0,0.0,both
fru-F-000131,361704572,0.0,0.0,both
TH-F-200106,727652372,0.0,0.0,both
VGlut-F-100003,549597974,0.0,0.0,both
TH-F-000012,667266529,0.0,0.0,both
VGlut-F-100125,329566174,0.0,0.0,both
VGlut-F-200251,514850616,0.0,0.0,both
VGlut-F-000556,915481348,0.0,0.0,both
TH-F-200106,1134107162,0.0,0.0,both
VGlut-F-100125,5813020347,0.0,0.0,both
TH-F-200106,884916323,0.0,0.0,both
VGlut-F-200251,5813011133,0.0,0.0,both
VGlut-F-100125,488922181,0.0,0.0,both
TH-M-100063,1443135486,0.0,0.0,both
VGlut-F-000556,978177557,0.0,0.0,both
VGlut-F-000556,945058110,0.0,0.0,both
VGlut-F-000556,944720631,0.0,0.0,both
Cha-F-000329,451982486,0.0,0.0,both
TH-F-000012,573333835,0.0,0.0,both
fru-M-300299,548993536,0.0,0.0,both
TH-M-100063,1449618949,0.0,0.0,both
TH-M-000030,1630051981,0.0,0.0,both
TH-M-300063,5812981000,0.0,0.0,both
