fc_id,em_id,score,label,dataset,orient_type,orient_angle_deg
TH-M-300017,5813054384,0,0.8,D2,1,7.961535930633545
TH-M-300017,947573616,0,0.2,D2,0,3.5503268241882324
Trh-F-000008,1671638278,0,0.9,D2,0,5.5345258712768555
Trh-F-100052,361312808,0,0.5,D2,1,12.927231788635254
Trh-M-100024,329289084,0,0.8,D2,1,9.250556945800781
Trh-M-700039,5813021583,0,0.4,D2,0,32.31254577636719
Trh-M-700039,981000564,0,0.3,D2,0,44.18280029296875
VGlut-F-200143,328870472,0,0.8,D2,1,6.962268829345703
VGlut-F-200143,298612190,0,0.4,D2,1,11.110566139221191
VGlut-F-200251,548712377,0,0.8,D2,1,2.737452745437622
VGlut-F-200251,5813020996,0,0.8,D2,1,8.754656791687012
VGlut-F-200319,424716408,0,0.5,D2,1,11.523347854614258
VGlut-F-200392,857793013,0,0.3,D2,1,12.430636405944824
VGlut-F-400186,1762359683,0,0.0,D2,0,26.21922492980957
VGlut-F-400186,1916800213,0,0.0,D2,0,35.55219268798828
VGlut-F-700541,1762359683,0,0.0,D2,0,36.328468322753906
VGlut-F-700541,1888199872,0,0.7,D2,0,39.897193908691406
Cha-F-000088,1640887603,0,0.7,D2,0,34.70146560668945
Cha-F-000088,5813047691,0,0.7,D2,0,37.141456604003906
Cha-F-000239,1640572741,0,0.0,D2,0,38.72459030151367
Cha-F-000239,5813054726,0,0.0,D2,0,41.54762268066406
Cha-F-000329,640539567,0,0.7,D2,0,44.85637664794922
Cha-F-000329,1043705078,0,0.7,D2,0,18.133392333984375
Cha-F-000427,573670049,0,0.7,D2,1,6.628564834594727
Cha-F-000427,573333284,0,0.7,D2,1,7.305219650268555
Cha-F-000461,487144598,0,0.3,D2,0,15.499656677246094
Cha-F-100135,393063351,0,0.7,D2,0,3.148524045944214
Cha-F-200299,5813027276,0,0.6,D2,0,34.82950210571289
Cha-F-200299,1321564092,0,0.5,D2,0,33.98694610595703
Cha-F-300267,328611004,0,0.7,D2,1,10.727648735046387
Cha-F-300344,5812978978,0,0.7,D2,1,11.339424133300781
Cha-F-300344,5813053836,0,0.7,D2,1,6.519808769226074
Cha-F-300344,859507274,0,0.7,D2,1,6.799417495727539
Cha-F-400237,5813098368,0,0.3,D2,0,20.094404220581055
Cha-F-400237,5813027276,0,0.4,D2,0,14.114714622497559
Cha-F-500071,1105169664,0,0.8,D2,1,8.995863914489746
Cha-F-500071,1012954687,0,0.5,D2,1,44.05482864379883
Cha-F-500310,5813009312,0,0.1,D2,0,11.792893409729004
Cha-F-700236,360259229,0,0.0,D2,0,21.23418617248535
Cha-F-800090,296139882,0,0.6,D2,0,2.0767881870269775
Cha-F-800090,297251714,0,0.6,D2,0,10.08227252960205
E0585-F-600004,5813010510,0,0.5,D2,0,30.18931770324707
GH146-M-000001,610274029,0,0.8,D2,0,10.563096046447754
Gad1-F-000245,953414780,0,0.0,D2,0,50.72734069824219
Gad1-F-000694,5813033371,0,0.3,D2,0,23.022274017333984
Gad1-F-000694,1480525278,0,0.0,D2,0,40.53330612182617
Gad1-F-000703,424716408,0,0.1,D2,1,7.8893632888793945
Gad1-F-000703,5813068669,0,0.2,D2,1,18.846275329589844
Gad1-F-100171,1224595608,0,0.7,D2,1,3.3798556327819824
Gad1-F-100784,832016427,0,0.7,D2,0,4.701362609863281
Gad1-F-200186,1916800213,0,0.2,D2,0,42.486663818359375
Gad1-F-200186,1762359683,0,0.0,D2,0,33.163089752197266
Gad1-F-200219,5901197108,0,0.7,D2,0,36.931461334228516
Gad1-F-200247,543692985,0,0.6,D2,0,13.66724967956543
Gad1-F-200719,5813039309,0,0.0,D2,0,44.672672271728516
Gad1-F-200719,1640555311,0,0.0,D2,0,8.264720916748047
Gad1-F-400220,550638250,0,0.7,D2,1,3.3176498413085938
Gad1-F-500004,294436967,0,0.7,D2,0,2.7455923557281494
Gad1-F-500321,574377562,0,0.7,D2,0,16.78877067565918
Gad1-F-500457,1261423370,0,0.7,D2,1,8.878098487854004
Gad1-F-600059,328546871,0,1.0,D2,1,1.6960442066192627
Gad1-F-600604,1793403571,0,0.8,D2,1,14.631746292114258
Gad1-F-700193,634379734,0,0.8,D2,1,5.113968372344971
Gad1-F-700607,977338882,0,0.7,D2,1,6.021219730377197
Gad1-F-700607,915610561,0,0.7,D2,1,7.254904270172119
Gad1-F-700607,1008378609,0,0.7,D2,1,9.104483604431152
Gad1-F-800371,5813082723,0,0.6,D2,0,10.217039108276367
Gad1-F-900395,5813049380,0,0.8,D2,1,5.053808689117432
TH-F-000009,5813054384,0,0.9,D2,1,8.071074485778809
TH-F-000009,1378251040,0,0.6,D2,1,13.046177864074707
TH-F-000010,5812980529,0,0.7,D2,1,3.9322848320007324
TH-F-000010,360591860,0,0.6,D2,1,7.660088539123535
TH-F-000010,5901203505,0,0.7,D2,1,3.418102979660034
TH-F-000012,487144598,0,0.0,D2,0,17.654577255249023
TH-F-000019,859265651,0,0.7,D2,0,21.32145118713379
TH-F-000019,5813027592,0,0.5,D2,0,28.323774337768555
TH-F-000036,859265651,0,0.0,D2,0,35.43521499633789
TH-F-000046,604289581,0,0.0,D2,0,30.294240951538086
TH-F-000046,550404663,0,0.1,D2,0,42.92503356933594
TH-F-000079,1378251040,0,0.1,D2,0,11.359207153320312
TH-F-000091,331662710,0,1.0,D2,1,3.628657817840576
TH-F-100005,1378251040,0,0.0,D2,1,10.351248741149902
TH-F-100005,5813054384,0,0.8,D2,1,2.6655023097991943
TH-F-100036,360591860,0,0.7,D2,1,5.446976661682129
TH-F-100036,5901203505,0,0.6,D2,1,2.5874745845794678
TH-F-100050,1131827390,0,0.8,D2,0,15.147723197937012
TH-F-100075,859265651,0,0.0,D2,0,30.51134490966797
TH-F-100095,331662710,0,1.0,D2,1,13.726410865783691
TH-F-200004,859265651,0,0.0,D2,0,36.23204803466797
TH-F-200004,5813011298,0,0.6,D2,1,10.237658500671387
TH-F-200010,331662710,0,1.0,D2,1,7.238578796386719
TH-F-200026,5813009595,0,0.9,D2,1,5.6414947509765625
TH-F-200034,331662710,0,1.0,D2,1,7.695006847381592
TH-F-200064,331662710,0,1.0,D2,1,6.622556686401367
TH-F-200085,1131827390,0,0.8,D2,0,10.129916191101074
TH-F-300037,331662710,0,1.0,D2,1,7.42219352722168
TH-F-300046,1131827390,0,0.8,D2,0,6.761380195617676
TH-F-300062,5813060068,0,0.8,D2,0,3.1626689434051514
TH-F-300078,5813071348,0,0.9,D2,1,4.608489513397217
TH-F-700015,1224941044,0,0.9,D2,0,32.726444244384766
TH-M-000029,859265651,0,0.8,D2,0,13.354669570922852
TH-M-000029,510049477,0,0.6,D2,0,29.053409576416016
TH-M-000030,792692885,0,0.1,D2,0,41.66402053833008
TH-M-000045,331662710,0,1.0,D2,1,8.951924324035645
TH-M-100016,331662710,0,1.0,D2,1,8.986905097961426
TH-M-100027,947573616,0,0.2,D2,0,5.657002925872803
TH-M-100027,5813054384,0,0.7,D2,1,1.8676024675369263
TH-M-100057,1198330286,0,0.8,D2,1,6.849310398101807
TH-M-100063,1198330286,0,0.8,D2,1,8.197739601135254
TH-M-200010,422738252,0,0.9,D2,1,4.087392330169678
TH-M-200013,5813062871,0,0.9,D2,0,24.259647369384766
TH-M-200034,5813054384,0,0.8,D2,1,9.364202499389648
TH-M-200034,947573616,0,0.2,D2,0,2.782207727432251
TH-M-200049,331662710,0,1.0,D2,1,6.513640403747559
TH-M-200064,331662710,0,1.0,D2,1,10.668374061584473
TH-M-200095,422738252,0,0.9,D2,1,6.889569282531738
TH-M-300005,1131827390,0,0.9,D2,0,6.049252033233643
TH-M-300063,5813009595,0,0.8,D2,1,4.536865711212158
Trh-F-100001,1225290633,0,0.6,D2,0,10.823092460632324
Trh-F-100038,1671638278,0,0.9,D2,0,11.963422775268555
Trh-F-100066,5813062858,0,0.9,D2,1,3.354621648788452
Trh-F-300112,957506896,0,0.9,D2,0,10.8171968460083
Trh-F-400055,957506896,0,0.9,D2,0,19.628376007080078
Trh-M-000172,1671638278,0,0.9,D2,0,16.65813636779785
Trh-M-100020,361312808,0,0.8,D2,1,13.636458396911621
Trh-M-100025,1225290633,0,0.6,D2,0,4.079719543457031
Trh-M-100025,5813062858,0,0.8,D2,0,5.172823905944824
Trh-M-100037,1671638278,0,0.9,D2,0,8.070880889892578
Trh-M-100060,297230760,0,0.8,D2,1,5.106184959411621
Trh-M-100060,361312808,0,0.9,D2,1,7.897768497467041
Trh-M-100071,673746277,0,0.2,D2,0,19.16657829284668
Trh-M-100071,1225290633,0,0.6,D2,0,8.289581298828125
Trh-M-200043,5813054716,0,0.4,D2,0,27.618450164794922
Trh-M-300071,977339122,0,0.7,D2,0,27.85382843017578
Trh-M-300138,922069357,0,0.9,D2,0,16.081520080566406
Trh-M-300138,832016427,0,0.9,D2,0,19.516450881958008
Trh-M-300138,957506896,0,0.9,D2,0,8.555727005004883
Trh-M-300140,5813053851,0,0.9,D2,0,21.835405349731445
Trh-M-300140,957506896,0,0.9,D2,0,20.979963302612305
Trh-M-400023,5813053851,0,0.9,D2,0,22.597742080688477
Trh-M-400052,957506896,0,0.9,D2,0,15.320514678955078
Trh-M-400052,5813053851,0,0.9,D2,0,28.70427131652832
Trh-M-400110,5813053851,0,0.9,D2,0,11.592823028564453
Trh-M-400110,5813065004,0,0.7,D2,0,36.47380065917969
Trh-M-400131,832016427,0,0.9,D2,0,29.855609893798828
Trh-M-500163,922354084,0,0.9,D2,1,4.151523590087891
Trh-M-500163,829598814,0,0.9,D2,1,6.335739612579346
VGlut-F-000016,5813027276,0,0.8,D2,0,18.89344596862793
VGlut-F-000016,950880008,0,0.8,D2,0,0.8151736855506897
VGlut-F-000111,5812987694,0,0.4,D2,0,8.82861614227295
VGlut-F-000111,5813021583,0,0.5,D2,0,10.742170333862305
VGlut-F-000158,298254384,0,0.7,D2,0,13.111644744873047
VGlut-F-000158,5813020785,0,0.6,D2,0,19.12942886352539
VGlut-F-000177,5813056321,0,0.8,D2,1,6.671267509460449
VGlut-F-000303,5813011119,0,0.8,D2,1,6.272542476654053
VGlut-F-000463,1733677514,0,0.9,D2,1,1.948629379272461
VGlut-F-000556,885168486,0,0.8,D2,1,6.694362640380859
VGlut-F-100002,914778159,0,0.7,D2,1,20.125802993774414
VGlut-F-100003,1671638278,0,0.9,D2,0,14.710736274719238
VGlut-F-100035,575768294,0,0.8,D2,1,1.6481760740280151
VGlut-F-100125,1107081827,0,0.8,D2,0,31.988550186157227
VGlut-F-200036,797442049,0,0.7,D2,0,6.0898823738098145
VGlut-F-200036,5813059915,0,0.3,D2,0,15.238014221191406
VGlut-F-200062,297251714,0,0.6,D2,1,3.8616840839385986
VGlut-F-200062,296139882,0,0.6,D2,1,8.77820873260498
VGlut-F-200459,5813011119,0,0.8,D2,1,1.0362763404846191
VGlut-F-300438,329566197,0,0.9,D2,1,7.261770725250244
VGlut-F-400049,297917475,0,0.8,D2,1,8.447943687438965
VGlut-F-400184,1762359683,0,0.0,D2,0,40.448936462402344
VGlut-F-400184,1667251683,0,0.5,D2,0,8.335102081298828
VGlut-F-400334,447599745,0,0.8,D2,0,22.813234329223633
VGlut-F-400757,5813039309,0,0.0,D2,0,12.371862411499023
VGlut-F-400757,1670597533,0,0.0,D2,0,35.453636169433594
VGlut-F-400898,1762359683,0,0.0,D2,0,24.780237197875977
VGlut-F-400898,1916800213,0,0.0,D2,0,34.07133483886719
VGlut-F-500002,5813011298,0,0.7,D2,1,14.721206665039062
VGlut-F-500335,1762359683,0,0.0,D2,0,32.48914337158203
VGlut-F-500335,5813039309,0,0.0,D2,0,33.34812545776367
VGlut-F-500876,1640555311,0,0.0,D2,0,27.51480484008789
VGlut-F-500876,1639886198,0,0.0,D2,0,31.57394027709961
VGlut-F-600204,5813061218,0,0.9,D2,0,5.382229804992676
VGlut-F-700261,5813047489,0,0.7,D2,0,19.977542877197266
VGlut-F-700261,5813057579,0,0.4,D2,0,50.422203063964844
VGlut-F-800130,1671620613,0,0.6,D2,0,37.07981491088867
VGlut-F-800130,1762359683,0,0.7,D2,0,49.04072570800781
fru-F-000094,422751191,0,0.7,D2,0,0.8767032623291016
fru-F-000131,360591860,0,0.7,D2,1,3.276141405105591
fru-F-000131,298258611,0,0.8,D2,1,4.379358291625977
fru-F-000131,5812980529,0,0.8,D2,1,1.845253825187683
fru-M-000335,673776769,0,0.7,D2,0,19.942476272583008
fru-M-000339,329289084,0,0.8,D2,1,5.286352157592773
fru-M-000339,452029745,0,0.8,D2,1,11.249342918395996
fru-M-300299,579268807,0,0.8,D2,0,31.124685287475586
npf-M-300037,5813069630,0,0.9,D2,1,6.621283531188965
Cha-F-000088,1670597533,0,0.6,D2,0,24.739694595336914
Cha-F-000239,1672320134,0,0.0,D2,0,45.4475212097168
Cha-F-000239,5813069085,0,0.0,D2,0,40.672122955322266
Cha-F-000239,1704347707,0,0.0,D2,0,33.816341400146484
Cha-F-200299,950880008,0,0.3,D2,0,15.717449188232422
Cha-F-200299,5813023322,0,0.3,D2,0,19.194976806640625
Cha-F-200299,5813098368,0,0.3,D2,0,27.878524780273438
Cha-F-300344,5813047970,0,0.7,D2,1,7.122406959533691
Cha-F-300344,951916894,0,0.7,D2,1,11.029426574707031
Cha-F-400237,1321564092,0,0.5,D2,0,14.097186088562012
Cha-F-400237,950880008,0,0.5,D2,0,9.209891319274902
Cha-F-400237,951234513,0,0.0,D2,0,20.693906784057617
Cha-F-800090,361312808,0,0.0,D2,0,34.885013580322266
Cha-F-800090,487144598,0,0.0,D2,0,30.340381622314453
Cha-F-800090,329897255,0,0.0,D2,0,31.248458862304688
Gad1-F-000694,5813070613,0,0.0,D2,0,10.314712524414062
Gad1-F-000694,5813057853,0,0.0,D2,0,44.28556442260742
Gad1-F-000694,1383016399,0,0.0,D2,0,12.280404090881348
Gad1-F-000703,421641859,0,0.0,D2,1,23.133085250854492
Gad1-F-000703,360259229,0,0.0,D2,1,11.525228500366211
Gad1-F-200186,1702306037,0,0.0,D2,0,45.46425247192383
Gad1-F-200186,5813039309,0,0.0,D2,0,34.13702392578125
Gad1-F-200186,5813034455,0,0.6,D2,0,31.780902862548828
TH-F-000009,1406911688,0,0.5,D2,1,8.448802947998047
TH-F-000010,298258611,0,0.6,D2,1,7.5538249015808105
TH-F-000019,675767414,0,0.0,D2,0,25.691791534423828
TH-F-000019,510049477,0,0.0,D2,0,41.74370193481445
TH-M-000029,675767414,0,0.0,D2,0,21.63991928100586
TH-M-000032,675767414,0,0.0,D2,0,18.708938598632812
TH-M-000032,611629428,0,0.3,D2,0,45.63309860229492
TH-M-100027,5813057579,0,0.0,D2,0,15.254301071166992
TH-M-100027,797442049,0,0.0,D2,0,9.658563613891602
TH-M-100027,5813021583,0,0.0,D2,0,0.5012409090995789
TH-M-200034,5813021112,0,0.4,D2,0,24.930450439453125
TH-M-200034,1406911688,0,0.0,D2,1,16.1370792388916
TH-M-200034,797442049,0,0.0,D2,0,2.2115161418914795
TH-M-200035,387870860,0,0.0,D2,0,48.80995559692383
TH-M-300017,5813021112,0,0.2,D2,0,23.989765167236328
TH-M-300017,1406911688,0,0.3,D2,1,14.511929512023926
Trh-M-100025,673746277,0,0.0,D2,0,13.553499221801758
Trh-M-100060,297251714,0,0.2,D2,1,28.945356369018555
Trh-M-100071,5813062858,0,0.7,D2,0,10.199234008789062
Trh-M-500163,5813033196,0,0.7,D2,1,2.8587589263916016
Trh-M-700039,797442049,0,0.2,D2,0,38.632476806640625
VGlut-F-000016,5813098368,0,0.5,D2,0,17.699892044067383
VGlut-F-000016,1321564092,0,0.7,D2,0,18.27435874938965
VGlut-F-000016,857793013,0,0.0,D2,0,13.126960754394531
VGlut-F-000111,5813057579,0,0.0,D2,0,12.118339538574219
VGlut-F-000158,328870472,0,0.0,D2,0,12.84498405456543
VGlut-F-000158,298612190,0,0.0,D2,0,8.43947696685791
VGlut-F-000158,5813078542,0,0.0,D2,0,21.488595962524414
VGlut-F-200036,947573616,0,0.0,D2,0,2.470608949661255
VGlut-F-200062,329225149,0,0.0,D2,1,23.67152976989746
VGlut-F-200062,361312808,0,0.0,D2,1,28.115224838256836
VGlut-F-200062,329897255,0,0.0,D2,0,24.98654556274414
VGlut-F-200143,298254384,0,0.0,D2,1,6.5540971755981445
VGlut-F-200143,5813020785,0,0.0,D2,1,0.05233915150165558
VGlut-F-400184,1704347707,0,0.0,D2,0,47.815773010253906
VGlut-F-400186,5813034455,0,0.6,D2,0,25.347991943359375
VGlut-F-400757,1640555311,0,0.0,D2,0,34.788448333740234
VGlut-F-400757,1888199872,0,0.7,D2,0,16.614931106567383
VGlut-F-400757,1762359683,0,0.0,D2,0,11.209322929382324
VGlut-F-400898,1702306037,0,0.0,D2,0,37.12419509887695
VGlut-F-400898,5813034455,0,0.7,D2,0,23.424102783203125
VGlut-F-500876,5813039309,0,0.0,D2,0,21.593338012695312
VGlut-F-700261,5813021112,0,0.0,D2,0,39.85707092285156
VGlut-F-700541,5813039309,0,0.0,D2,0,37.14837646484375
VGlut-F-700541,1702306037,0,0.0,D2,0,48.6814079284668
VGlut-F-800130,1640887603,0,0.0,D2,0,34.202781677246094
VGlut-F-800130,1578826464,0,0.0,D2,0,27.358461380004883
VGlut-F-800130,1640922754,0,0.0,D2,0,6.584217071533203
Trh-M-800009,1016835041,0,1.0,D3,1,2.6153147220611572
Trh-M-000163,1048215779,0,1.0,D3,1,4.303112983703613
Trh-M-800009,1048215779,0,1.0,D3,1,3.842111825942993
fru-M-100018,1048215779,0,1.0,D3,1,3.7418296337127686
Gad1-F-700282,547552266,0,0.7,D3,0,26.562654495239258
fru-M-100214,5813022234,0,0.9,D3,1,5.325793266296387
Trh-F-400040,613719036,0,0.9,D3,1,13.41605281829834
5-HT1B-F-500007,5813018460,0,0.3,D4,0,
5-HT1B-F-500007,5813054777,0,0.7,D4,0,25.692174911499023
Cha-F-100152,1671620613,0,0.4,D4,0,23.97489356994629
Cha-F-100152,5813018460,0,0.3,D4,0,
Cha-F-100358,1671620613,0,0.4,D4,0,18.262802124023438
Cha-F-100358,1578826464,0,0.5,D4,0,7.2259650230407715
Cha-F-300304,5813056598,0,0.5,D4,0,30.596195220947266
Cha-F-300304,5813054725,0,0.5,D4,0,16.307064056396484
Cha-F-300425,1671620613,0,0.4,D4,0,11.671058654785156
GH146-M-000001,610274046,0,0.9,D4,0,
Gad1-F-000394,5901206553,0,0.3,D4,0,
Gad1-F-000429,5813034493,0,0.7,D4,0,
Gad1-F-000429,1730327790,0,0.7,D4,0,
Gad1-F-100409,1640572741,0,0.6,D4,0,25.39914894104004
Gad1-F-100409,5901218894,0,0.6,D4,0,18.54061508178711
Gad1-F-200461,5901196806,0,0.2,D4,0,
Gad1-F-200461,2069652905,0,0.4,D4,0,
Gad1-F-400473,1669924220,0,0.8,D4,0,
Gad1-F-400473,5901206553,0,0.3,D4,0,
Gad1-F-500348,5813027235,0,0.1,D4,0,9.979158401489258
Gad1-F-600662,5813018460,0,0.3,D4,0,
Gad1-F-600662,1671620613,0,0.4,D4,0,29.998271942138672
Gad1-F-700086,1888199872,0,0.1,D4,0,52.31825637817383
Gad1-F-700086,5813034455,0,0.1,D4,0,46.46369934082031
TH-F-000003,792040520,0,0.7,D4,0,
TH-F-000007,792040520,0,0.8,D4,0,
TH-F-000007,950229431,0,0.8,D4,0,
TH-F-000086,792040520,0,0.8,D4,0,
TH-F-000086,950229431,0,0.8,D4,0,
TH-F-100020,792040520,0,0.8,D4,0,
TH-F-100020,950229431,0,0.8,D4,0,
TH-F-100061,792040520,0,0.8,D4,0,
TH-F-100103,792040520,0,0.8,D4,0,
TH-F-300046,1289359184,0,0.9,D4,0,
TH-M-000064,792040520,0,0.9,D4,0,
TH-M-000064,950229431,0,0.8,D4,0,
TH-M-100000,792040520,0,0.8,D4,0,
TH-M-100000,950229431,0,0.8,D4,0,
TH-M-100005,792040520,0,0.7,D4,0,
TH-M-100005,950229431,0,0.7,D4,0,
TH-M-100083,792040520,0,0.8,D4,0,
TH-M-100083,950229431,0,0.7,D4,0,
TH-M-200011,792040520,0,0.7,D4,0,
TH-M-200052,792040520,0,0.7,D4,0,
TH-M-300030,792040520,0,0.8,D4,0,
TH-M-300030,950229431,0,0.8,D4,0,
Trh-F-100080,2069652905,0,0.2,D4,0,
Trh-F-100080,5901206553,0,0.3,D4,0,
Trh-F-100088,1640922516,0,0.8,D4,0,20.000579833984375
Trh-F-100088,5813034493,0,0.7,D4,0,
Trh-F-100092,5901206553,0,0.3,D4,0,
Trh-F-100092,5813018460,0,0.3,D4,0,
Trh-F-200060,5813018460,0,0.3,D4,0,
Trh-F-200060,1669924220,0,0.3,D4,0,
Trh-F-200123,2069652905,0,0.3,D4,0,
Trh-F-200123,1671620613,0,0.4,D4,0,16.283342361450195
Trh-F-300102,5901206553,0,0.3,D4,0,
Trh-F-300102,5813018460,0,0.3,D4,0,
Trh-F-300133,1671620613,0,0.4,D4,0,8.26377010345459
Trh-F-300133,1702310266,0,0.4,D4,0,
Trh-F-400082,5813018460,0,0.3,D4,0,
Trh-F-400082,1671620613,0,0.4,D4,0,30.14011001586914
Trh-F-500108,5901206553,0,0.3,D4,0,
Trh-F-500108,5813018460,0,0.3,D4,0,
Trh-F-500186,2069652905,0,0.2,D4,0,
Trh-F-500186,1671620613,0,0.4,D4,0,8.071537017822266
Trh-F-700065,5813018460,0,0.3,D4,0,
Trh-M-000132,487187476,0,0.9,D4,0,
Trh-M-000182,5812980746,0,0.9,D4,1,1.2505441904067993
Trh-M-100002,519046655,0,0.9,D4,0,4.385079383850098
Trh-M-100004,5901206553,0,0.3,D4,0,
Trh-M-100004,1920590638,0,0.2,D4,0,
Trh-M-100046,891771553,0,0.0,D4,0,22.93943214416504
Trh-M-200107,519046655,0,0.8,D4,0,4.013759613037109
Trh-M-200112,1671620613,0,0.6,D4,0,13.453402519226074
Trh-M-200112,2069652905,0,0.2,D4,0,
Trh-M-300134,988567837,0,0.8,D4,0,
Trh-M-300138,5813053851,0,0.8,D4,0,42.67997741699219
Trh-M-400002,519046655,0,0.8,D4,0,1.6662439107894897
Trh-M-400131,957506896,0,0.8,D4,0,17.306720733642578
VGlut-F-000067,1289359184,0,0.8,D4,0,
VGlut-F-000200,792040520,0,0.8,D4,0,
VGlut-F-000261,5813018460,0,0.2,D4,0,
VGlut-F-000261,1667251683,0,0.2,D4,0,14.074101448059082
VGlut-F-000297,544038123,0,0.9,D4,0,
VGlut-F-000440,5813054725,0,0.5,D4,0,8.482741355895996
VGlut-F-000440,1642623277,0,0.5,D4,0,9.141036033630371
VGlut-F-000475,1671620613,0,0.3,D4,0,55.31568145751953
VGlut-F-000475,5901206553,0,0.2,D4,0,
VGlut-F-000524,5901206553,0,0.3,D4,0,
VGlut-F-000524,2069652905,0,0.2,D4,0,
VGlut-F-100132,792040520,0,0.8,D4,0,
VGlut-F-100223,1640922516,0,0.5,D4,0,37.5594367980957
VGlut-F-100223,5813034493,0,0.6,D4,0,
VGlut-F-200333,5813060726,0,0.7,D4,0,10.786967277526855
Cha-F-000074,356818551,0,0.6,D4,0,
Cha-F-000427,579576294,0,0.7,D4,0,
Cha-F-300344,1074704960,0,0.8,D4,0,
Cha-F-300350,603482385,0,0.9,D4,0,
E0585-F-000005,1012954687,0,0.0,D4,0,21.922128677368164
Gad1-F-000703,5813055865,0,0.7,D4,0,
Gad1-F-200247,5813047489,0,0.3,D4,0,31.093969345092773
Gad1-F-500004,5813078062,0,0.4,D4,0,
VGlut-F-800130,5901206553,0,0.2,D4,0,
fru-M-300418,792040520,0,0.7,D4,0,
fru-M-300418,950229431,0,0.7,D4,0,
fru-M-500333,792040520,0,0.7,D4,0,
fru-M-500333,950229431,0,0.7,D4,0,
fru-M-700238,792040520,0,0.7,D4,0,
fru-M-700238,950229431,0,0.7,D4,0,
fru-M-800154,792040520,0,0.7,D4,0,
fru-M-800154,950229431,0,0.7,D4,0,
Cha-F-000139,580300616,0,0.8,D4,0,8.705381393432617
Cha-F-000139,609310926,0,0.8,D4,0,8.909003257751465
Cha-F-000305,734677385,0,0.3,D4,0,53.4366569519043
Cha-F-000305,1135441187,0,0.3,D4,0,
TH-F-000012,328533761,0,1.0,D4,0,
TH-F-000012,736860990,0,0.0,D4,0,
TH-F-100075,5813011298,0,0.7,D4,1,6.2193684577941895
