,fc_id,em_id
115,TH-F-300078,5813071348
116,TH-F-700015,1224941044
117,TH-M-000029,859265651
118,TH-M-000029,510049477
119,TH-M-000030,792692885
120,TH-M-000045,331662710
121,TH-M-100016,331662710
122,TH-M-100027,947573616
123,TH-M-100027,5813054384
124,TH-M-100057,1198330286
125,TH-M-100063,1198330286
126,TH-M-200010,422738252
127,TH-M-200013,5813062871
128,TH-M-200034,5813054384
129,TH-M-200034,947573616
130,TH-M-200049,331662710
131,TH-M-200064,331662710
132,TH-M-200095,422738252
133,TH-M-300005,1131827390
134,TH-M-300063,5813009595
135,Trh-F-100001,1225290633
136,Trh-F-100038,1671638278
137,Trh-F-100066,5813062858
138,Trh-F-300112,957506896
139,Trh-F-400055,957506896
140,Trh-M-000172,1671638278
141,Trh-M-100020,361312808
142,Trh-M-100025,1225290633
143,Trh-M-100025,5813062858
144,Trh-M-100037,1671638278
145,Trh-M-100060,297230760
146,Trh-M-100060,361312808
147,Trh-M-100071,673746277
148,Trh-M-100071,1225290633
149,Trh-M-200043,5813054716
150,Trh-M-300071,977339122
151,Trh-M-300138,922069357
152,Trh-M-300138,832016427
153,Trh-M-300138,957506896
154,Trh-M-300140,5813053851
155,Trh-M-300140,957506896
156,Trh-M-400023,5813053851
157,Trh-M-400052,957506896
158,Trh-M-400052,5813053851
159,Trh-M-400110,5813053851
160,Trh-M-400110,5813065004
161,Trh-M-400131,832016427
162,Trh-M-500163,922354084
163,Trh-M-500163,829598814
164,VGlut-F-000016,5813027276
165,VGlut-F-000016,950880008
166,VGlut-F-000111,5812987694
167,VGlut-F-000111,5813021583
168,VGlut-F-000158,298254384
169,VGlut-F-000158,5813020785
170,VGlut-F-000177,5813056321
171,VGlut-F-000303,5813011119
172,VGlut-F-000463,1733677514
173,VGlut-F-000556,885168486
174,VGlut-F-100002,914778159
175,VGlut-F-100003,1671638278
176,VGlut-F-100035,575768294
177,VGlut-F-100125,1107081827
178,VGlut-F-200036,797442049
179,VGlut-F-200036,5813059915
180,VGlut-F-200062,297251714
181,VGlut-F-200062,296139882
182,VGlut-F-200459,5813011119
183,VGlut-F-300438,329566197
184,VGlut-F-400049,297917475
185,VGlut-F-400184,1762359683
186,VGlut-F-400184,1667251683
187,VGlut-F-400334,447599745
188,VGlut-F-400757,5813039309
189,VGlut-F-400757,1670597533
190,VGlut-F-400898,1762359683
191,VGlut-F-400898,1916800213
192,VGlut-F-500002,5813011298
193,VGlut-F-500335,1762359683
194,VGlut-F-500335,5813039309
195,VGlut-F-500876,1640555311
196,VGlut-F-500876,1639886198
197,VGlut-F-600204,5813061218
198,VGlut-F-700261,5813047489
199,VGlut-F-700261,5813057579
200,VGlut-F-800130,1671620613
201,VGlut-F-800130,1762359683
202,fru-F-000094,422751191
203,fru-F-000131,360591860
204,fru-F-000131,298258611
205,fru-F-000131,5812980529
206,fru-M-000335,673776769
207,fru-M-000339,329289084
208,fru-M-000339,452029745
209,fru-M-300299,579268807
210,npf-M-300037,5813069630
211,Cha-F-000088,1670597533
212,Cha-F-000239,1672320134
213,Cha-F-000239,5813069085
214,Cha-F-000239,1704347707
215,Cha-F-200299,950880008
216,Cha-F-200299,5813023322
217,Cha-F-200299,5813098368
218,Cha-F-300344,5813047970
219,Cha-F-300344,951916894
220,Cha-F-400237,1321564092
221,Cha-F-400237,950880008
222,Cha-F-400237,951234513
223,Cha-F-800090,361312808
224,Cha-F-800090,487144598
225,Cha-F-800090,329897255
226,Gad1-F-000694,5813070613
227,Gad1-F-000694,5813057853
228,Gad1-F-000694,1383016399
229,Gad1-F-000703,421641859
230,Gad1-F-000703,360259229
231,Gad1-F-200186,1702306037
232,Gad1-F-200186,5813039309
233,Gad1-F-200186,5813034455
234,TH-F-000009,1406911688
235,TH-F-000010,298258611
236,TH-F-000019,675767414
237,TH-F-000019,510049477
238,TH-M-000029,675767414
239,TH-M-000032,675767414
240,TH-M-000032,611629428
241,TH-M-100027,5813057579
242,TH-M-100027,797442049
243,TH-M-100027,5813021583
244,TH-M-200034,5813021112
245,TH-M-200034,1406911688
246,TH-M-200034,797442049
247,TH-M-200035,387870860
248,TH-M-300017,5813021112
249,TH-M-300017,1406911688
250,Trh-M-100025,673746277
251,Trh-M-100060,297251714
252,Trh-M-100071,5813062858
253,Trh-M-500163,5813033196
254,Trh-M-700039,797442049
255,VGlut-F-000016,5813098368
256,VGlut-F-000016,1321564092
257,VGlut-F-000016,857793013
258,VGlut-F-000111,5813057579
259,VGlut-F-000158,328870472
260,VGlut-F-000158,298612190
261,VGlut-F-000158,5813078542
262,VGlut-F-200036,947573616
263,VGlut-F-200062,329225149
264,VGlut-F-200062,361312808
265,VGlut-F-200062,329897255
266,VGlut-F-200143,298254384
267,VGlut-F-200143,5813020785
268,VGlut-F-400184,1704347707
269,VGlut-F-400186,5813034455
270,VGlut-F-400757,1640555311
271,VGlut-F-400757,1888199872
272,VGlut-F-400757,1762359683
273,VGlut-F-400898,1702306037
274,VGlut-F-400898,5813034455
275,VGlut-F-500876,5813039309
276,VGlut-F-700261,5813021112
277,VGlut-F-700541,5813039309
278,VGlut-F-700541,1702306037
279,VGlut-F-800130,1640887603
280,VGlut-F-800130,1578826464
281,VGlut-F-800130,1640922754
0,Cha-F-000088,1640909284
1,Cha-F-400237,1135441187
2,Trh-M-200043,1671620613
3,Trh-F-100001,5813062858
4,Cha-F-000088,1699974843
5,Cha-F-000088,1704347707
6,VGlut-F-400757,1640922516
7,VGlut-F-200392,792326206
8,Cha-F-000088,5813055277
9,Cha-F-000088,5813056598
10,Cha-F-200299,1135441187
11,VGlut-F-500876,1640922516
12,VGlut-F-400898,1640922516
13,VGlut-F-500876,1667251683
14,Trh-M-100024,5813049824
15,Trh-M-500163,862671913
16,VGlut-F-400186,1640922516
17,VGlut-F-500335,1640922516
18,Trh-M-100024,5813020684
19,VGlut-F-700541,1640922516
20,TH-F-200026,330640044
21,Trh-M-300140,1008024276
22,Trh-M-400023,953414780
23,Trh-M-100024,5813055834
24,VGlut-F-500876,1669924220
25,Trh-M-100024,946308203
26,TH-F-000012,328533761
27,TH-F-100036,5812980529
28,Trh-M-500163,953410147
29,Trh-M-500163,768555687
30,VGlut-F-800130,1671257931
31,VGlut-F-200319,5813055865
32,TH-M-000029,5813021602
33,VGlut-F-800130,2135408892
34,VGlut-F-800130,5813132949
35,Trh-M-400110,953414780
36,Trh-M-500163,672006007
37,TH-F-000019,5813021602
38,Trh-F-400055,1070426862
39,TH-F-300062,1262360335
40,Trh-M-500163,891663788
41,VGlut-F-000463,1037293275
42,Trh-M-400110,1008024276
43,Trh-F-300112,953414780
44,Trh-F-400055,1008024276
45,Trh-F-300112,922069357
46,Trh-F-300112,1008024276
47,Trh-M-400023,988567837
48,TH-M-100063,1449247522
49,VGlut-F-400898,1668944259
50,Trh-M-400052,1008024276
51,VGlut-F-800130,1640555311
52,Trh-F-400055,953414780
53,Trh-F-300112,5813053851
54,Trh-M-400131,1008024276
55,Trh-M-400110,957506896
56,fru-F-000094,298603730
57,Cha-F-000239,1733677514
58,TH-F-000036,5813011298
59,VGlut-F-400757,5901196806
60,TH-M-000030,328533761
61,Cha-F-000239,1037293275
62,VGlut-F-000177,672283773
63,Trh-M-400110,1070426862
64,VGlut-F-400049,297251714
65,VGlut-F-400186,1700644008
66,TH-M-300005,1289359184
67,VGlut-F-500876,5813034455
68,TH-F-100050,1289359184
69,VGlut-F-500876,5901196806
70,TH-M-000032,5813021602
71,TH-F-300062,1666561406
72,VGlut-F-400757,1730651751
73,Trh-F-400055,922069357
74,VGlut-F-400898,1700644008
75,TH-F-300062,1168915489
76,Trh-M-300138,1008024276
77,Trh-M-400023,957506896
78,TH-M-100057,1449247522
79,VGlut-F-400757,5813034455
80,VGlut-F-700541,1700644008
81,TH-F-200026,329970706
82,TH-F-100075,5813011298
83,VGlut-F-300438,5813019526
84,Trh-M-400131,957506896
85,Cha-F-000239,1794055377
86,VGlut-F-200392,5813027276
87,VGlut-F-400186,1730651751
88,VGlut-F-400186,1888199872
89,Cha-F-000239,1316245799
90,Trh-M-400131,953414780
91,TH-F-200106,1225640135
92,TH-F-100036,359931311
93,VGlut-F-200392,1135441187
94,Trh-M-300138,953414780
95,VGlut-F-700541,5901196806
96,VGlut-F-400184,1730651751
97,Trh-M-400023,1051980223
98,Trh-M-300071,1008024276
99,VGlut-F-500335,5813034455
100,TH-M-200013,1035601661
101,Trh-M-300138,1070426862
102,VGlut-F-400898,5901196806
103,VGlut-F-700541,1668944259
104,VGlut-F-700541,5813034455
105,VGlut-F-100002,1978573010
106,VGlut-F-300438,297580589
107,Trh-M-400052,953414780
108,Trh-M-400052,1070426862
109,Trh-M-400052,922069357
110,VGlut-F-600204,5813064410
111,Trh-M-400131,1070426862
112,TH-F-200004,484126552
113,Trh-M-300140,922069357
114,Trh-M-300140,1070426862
115,VGlut-F-400184,1700644008
116,VGlut-F-200319,360259229
117,fru-F-000094,328611004
118,Cha-F-000239,610274029
119,VGlut-F-500335,1888199872
120,VGlut-F-000158,296543992
121,VGlut-F-400184,1888199872
122,VGlut-F-400184,5901196806
123,VGlut-F-500335,5901196806
124,TH-F-000019,361005850
125,VGlut-F-400184,5813034455
126,TH-M-000029,361005850
127,VGlut-F-500335,1730651751
128,Cha-F-400237,5813021533
129,TH-M-000032,542376096
130,Trh-M-400131,988567837
131,TH-M-200010,548712377
132,TH-M-000032,296139882
133,TH-F-200026,5813049380
134,TH-F-200004,5813021602
135,TH-M-300063,329970706
136,TH-F-000036,510987433
137,TH-M-200095,422751191
138,Cha-F-500071,609548390
139,TH-M-200010,5813083780
140,fru-F-000094,422738252
141,TH-M-000032,361005850
142,TH-M-100016,361312808
143,TH-F-100075,5813021602
144,VGlut-F-500002,5813021602
145,VGlut-F-200036,979627466
146,VGlut-F-000463,5813024692
147,TH-M-200095,393766777
148,VGlut-F-000158,297917475
149,TH-M-200010,5813020996
150,Cha-F-400237,701201945
151,Gad1-F-600059,359598627
152,TH-F-200064,361312808
153,Gad1-F-600059,1110972158
154,TH-F-200081,361312808
155,fru-F-000094,548712377
156,Cha-F-000329,454002974
157,TH-M-300063,5813049380
158,Cha-F-200299,5812987694
159,TH-F-000036,486880919
160,VGlut-F-000463,610274046
161,TH-M-200095,548712377
162,VGlut-F-100002,5813055298
163,TH-F-300037,361312808
164,VGlut-F-200319,5813068669
165,Gad1-F-600059,298595394
166,TH-M-200010,735941254
167,VGlut-F-400049,327499164
168,TH-F-200034,361312808
169,TH-M-200095,579575594
170,TH-M-200049,361312808
171,VGlut-F-600204,1005857944
172,VGlut-F-200036,5813021583
173,VGlut-F-000463,610274029
174,VGlut-F-600204,5813068748
175,VGlut-F-400049,330268940
176,VGlut-F-200319,421646999
177,TH-M-200064,361312808
178,Gad1-F-600059,455431209
179,VGlut-F-000158,361273559
180,Trh-M-300071,957506896
181,Trh-M-300071,1070426862
182,VGlut-F-600204,669325882
183,TH-F-100075,510987433
184,TH-F-200004,510987433
185,TH-F-100075,329225149
186,TH-F-000036,326817334
187,TH-F-100095,361312808
188,TH-F-100075,297251714
189,VGlut-F-500002,297251714
190,Cha-F-000329,579510789
191,TH-M-300063,331662710
192,VGlut-F-500002,296139882
193,TH-F-200004,361005850
194,VGlut-F-000158,298214577
195,TH-M-000045,361312808
196,TH-F-200026,331662710
197,VGlut-F-300438,358890923
198,TH-M-000029,5813055949
199,TH-F-000010,359931311
200,Cha-F-200299,5813059915
201,VGlut-F-200036,5813056261
202,TH-F-000009,5813021112
203,VGlut-F-000016,5813033371
204,VGlut-F-200392,950880008
205,Trh-M-700039,543692985
206,TH-F-200106,5813055913
207,TH-F-300062,5813082239
208,TH-F-100095,328611004
209,VGlut-F-300438,390280026
210,Trh-M-300071,5813062858
211,TH-M-200013,1107561814
212,TH-F-200081,328611004
213,Trh-M-300071,953414780
214,Cha-F-100135,422738252
215,TH-M-000029,487143497
216,VGlut-F-000111,484359937
217,Trh-M-700039,516055524
218,Cha-F-300267,329646990
219,VGlut-F-500002,329225149
220,TH-F-300037,328611004
221,Cha-F-100135,424793122
222,TH-F-200034,328611004
223,VGlut-F-100002,5813126031
224,VGlut-F-100002,2095549849
225,TH-M-300005,579268807
226,VGlut-F-000111,5813032849
227,TH-M-000008,579268807
228,TH-F-200037,422751191
229,TH-F-200037,330640044
230,VGlut-F-400049,360255138
231,TH-F-100095,5813049380
232,VGlut-F-000303,5813056909
233,TH-F-100083,5813049380
234,TH-F-200037,517514142
235,VGlut-F-200036,823058891
236,TH-F-100099,328611004
237,VGlut-F-000111,671233447
238,TH-M-100016,328611004
239,VGlut-F-000111,1043705078
240,TH-F-300078,576825965
241,Cha-F-100135,735941254
242,TH-F-200037,328611004
243,VGlut-F-400049,329225149
244,TH-M-300063,5813020673
245,TH-F-000019,514842241
246,TH-M-000045,328611004
247,Cha-F-100135,5813020996
248,VGlut-F-000303,575768294
249,Cha-F-000329,609548390
250,TH-M-200064,328611004
251,TH-F-200081,5813049380
252,TH-M-000008,5813055913
253,TH-F-200096,5813049380
254,TH-M-200013,5813048837
255,TH-F-300037,393063351
256,TH-F-000019,487143497
257,TH-F-200064,328611004
258,TH-F-000009,797442049
259,VGlut-F-200392,5812987694
260,Trh-M-100071,707539688
261,TH-F-000036,602368546
262,VGlut-F-700261,1228265278
263,TH-F-200034,393063351
264,TH-F-000009,1014344148
265,Trh-M-200043,2040301572
266,TH-F-000009,5813063093
267,VGlut-F-000303,329897255
268,Trh-F-100066,707539688
269,VGlut-F-100035,5813068707
270,VGlut-F-100035,488231898
271,TH-M-200064,298258399
272,TH-F-100083,329970706
273,Trh-F-100001,707539688
274,VGlut-F-200062,5813021602
275,TH-M-200035,543692985
276,VGlut-F-200062,487143497
277,Trh-F-100001,922069357
278,TH-F-200064,5813049380
279,Trh-M-100071,614081151
280,Cha-F-300267,298258399
281,VGlut-F-400334,576825965
282,Trh-M-700039,1043117106
283,Trh-M-100071,922069357
284,TH-F-200064,5813055800
285,Trh-F-100038,704699661
286,VGlut-F-100035,5813011119
287,TH-F-300078,736860990
288,Trh-F-100066,614081151
289,TH-F-200096,5813020673
290,Trh-M-100025,614081151
291,VGlut-F-200062,417221397
292,Trh-M-100020,328611004
293,TH-F-100095,329970706
294,TH-M-300005,423101189
295,VGlut-F-100035,636789034
296,Trh-F-100066,5813057861
297,TH-F-200096,5813055800
298,TH-F-000091,298258399
299,VGlut-F-000177,1042656011
300,Trh-M-100025,705795727
301,TH-M-200013,1192019859
302,TH-F-100050,5813041180
303,Trh-M-100037,704699661
304,Trh-M-700039,456847100
305,TH-F-000012,579912201
306,Trh-F-100066,5813009620
307,Trh-F-100001,614081151
308,Trh-M-100025,5813057861
309,fru-F-000131,297925608
310,Trh-F-000008,704699661
311,Trh-M-100037,1727979406
312,VGlut-F-100125,1135837629
313,VGlut-F-400334,736860990
314,TH-F-200096,387568523
315,Trh-F-100038,693927941
316,Trh-M-100025,5813060787
317,VGlut-F-000303,698569644
318,Trh-F-100001,642694410
319,VGlut-F-100003,704699661
320,VGlut-F-000177,1479156699
321,TH-F-000010,331774819
322,TH-F-000010,543821838
323,VGlut-F-700261,1352684733
324,TH-M-300005,1036637638
325,VGlut-F-100125,640194409
326,TH-F-100050,1160073701
327,Trh-M-700039,329897255
328,TH-M-000008,581746661
329,VGlut-F-400334,5813011660
330,TH-F-200081,387568523
331,TH-F-100083,298258399
332,VGlut-F-200251,424793122
333,TH-F-300078,447599745
334,TH-F-100050,975197713
335,Cha-F-500071,828455033
336,Gad1-F-500004,5813021943
337,TH-M-200035,5813021943
338,VGlut-F-100003,693927941
339,Trh-M-100037,693927941
340,TH-F-300078,667266529
341,TH-F-100036,331774819
342,VGlut-F-000177,515049524
343,Cha-F-500071,764377593
344,Trh-F-000008,1727979406
345,Trh-F-000008,693927941
346,VGlut-F-700261,5813040277
347,Trh-M-100037,5812982656
348,TH-M-100063,1572390197
349,VGlut-F-700261,859839499
350,VGlut-F-400334,5812980494
351,VGlut-F-100003,5812982656
352,TH-M-100057,1572390197
353,TH-M-000008,611693656
354,VGlut-F-000177,1354368623
355,fru-F-000131,328265389
356,Trh-F-100038,5812982656
357,TH-M-100057,5813069496
358,Cha-F-300267,328601956
359,Gad1-F-500004,5813057153
360,Trh-F-000008,5812982656
361,Cha-F-500071,1013346945
362,Cha-F-000329,5813078595
363,Gad1-F-500004,452953198
364,TH-M-200035,452953198
365,TH-M-200035,696850811
366,TH-M-100057,925241334
367,TH-M-000008,520617773
368,Trh-F-100038,549597974
369,TH-F-300037,267551639
370,TH-M-100057,1048250312
371,TH-M-200049,267551639
372,fru-F-000131,543821838
373,TH-F-200034,327937328
374,fru-F-000131,391496898
375,Gad1-F-500004,544046671
376,TH-F-200034,267551639
377,TH-M-000045,267551639
378,fru-F-000131,361704572
379,TH-F-200106,727652372
380,VGlut-F-100003,549597974
381,TH-F-000012,667266529
382,VGlut-F-100125,329566174
383,VGlut-F-200251,514850616
384,VGlut-F-000556,915481348
385,TH-F-200106,1134107162
386,VGlut-F-100125,5813020347
387,TH-F-200106,884916323
388,VGlut-F-200251,5813011133
389,VGlut-F-100125,488922181
390,TH-M-100063,1443135486
391,VGlut-F-000556,978177557
392,VGlut-F-000556,945058110
393,VGlut-F-000556,944720631
394,Cha-F-000329,451982486
395,TH-F-000012,573333835
396,fru-M-300299,548993536
397,TH-M-100063,1449618949
398,TH-M-000030,1630051981
399,TH-M-300063,5812981000
