fc_id,em_id,confidence
VGlut-F-000200,792040520,0.8
VGlut-F-000261,5813018460,0.2
VGlut-F-000261,1667251683,0.2
VGlut-F-000297,544038123,0.9
VGlut-F-000440,5813054725,0.5
VGlut-F-000440,1642623277,0.5
VGlut-F-000475,1671620613,0.3
VGlut-F-000475,5901206553,0.2
VGlut-F-000524,5901206553,0.3
VGlut-F-000524,2069652905,0.2
VGlut-F-100003,1671638278,0.9
VGlut-F-100132,792040520,0.8
VGlut-F-100223,1640922516,0.5
VGlut-F-100223,5813034493,0.6
VGlut-F-200333,5813060726,0.7
Cha-F-000074,356818551,0.6
Cha-F-000427,579576294,0.7
Cha-F-300267,328611004,0.8
Cha-F-300344,1074704960,0.8
Cha-F-300344,5812978978,0.8
Cha-F-300350,603482385,0.9
E0585-F-000005,1012954687,0.0
Gad1-F-000703,5813055865,0.7
Gad1-F-000703,424716408,0.1
Gad1-F-200247,543692985,0.6
Gad1-F-200247,5813047489,0.3
Gad1-F-500004,294436967,0.6
Gad1-F-500004,5813078062,0.4
VGlut-F-800130,5901206553,0.2
VGlut-F-800130,1671620613,0.4
fru-M-300418,792040520,0.7
fru-M-300418,950229431,0.7
fru-M-500333,792040520,0.7
fru-M-500333,950229431,0.7
fru-M-700238,792040520,0.7
fru-M-700238,950229431,0.7
fru-M-800154,792040520,0.7
fru-M-800154,950229431,0.7
Cha-F-000139,580300616,0.8
Cha-F-000139,609310926,0.8
Cha-F-000305,734677385,0.3
Cha-F-000305,1135441187,0.3
Cha-F-100135,393063351,0.8
TH-F-000010,360591860,0.7
TH-F-000010,5901203505,0.7
TH-F-000012,328533761,1.0
TH-F-000012,736860990,0.0
TH-F-000036,859265651,0.0
TH-F-100075,5813011298,0.7
TH-F-200026,5813009595,0.9
TH-F-200033,517514142,0.9
TH-F-200037,331662710,1.0
TH-F-200096,331662710,1.0
TH-F-200124,915960391,0.9
TH-F-300037,331662710,1.0
TH-M-000030,328533761,1.0
TH-M-000030,736860990,0.0
TH-M-100016,331662710,1.0
TH-M-200035,294436967,0.9
TH-M-200035,5813078062,0.0
TH-M-300017,5813054384,0.8
TH-M-300017,947573616,0.2
Trh-F-100052,361312808,0.9
Trh-M-700039,5813021583,0.2
Trh-M-700039,792692885,0.0
VGlut-F-000111,5813057579,0.1
VGlut-F-000111,5813068559,0.2
VGlut-F-000556,885168486,0.8
VGlut-F-200036,5813027276,0.1
VGlut-F-200036,5813059915,0.1
VGlut-F-200143,328870472,0.7
VGlut-F-200143,298612190,0.3
VGlut-F-600204,5813061218,0.8
fru-F-000131,298258611,0.8
fru-F-000131,360591860,0.7
fru-F-400081,731736853,0.9
fru-M-300255,267214250,0.9
fru-M-400329,298258399,0.8
fru-M-800062,731736853,0.9
fru-M-800135,360591860,0.8
npf-M-300037,5813069630,0.9
Cha-F-200447,667931999,0.7
Cha-F-200451,703106626,0.9
Cha-F-500144,1076159832,0.8
Cha-F-600151,1324373969,0.6
Cha-F-600151,1474084639,0.7
Gad1-F-000080,1167982211,0.7
Gad1-F-000169,1198006801,0.7
Gad1-F-000169,1416900410,0.7
Gad1-F-100604,1817712927,0.6
Gad1-F-100604,800212579,0.6
Gad1-F-300369,1008378609,0.8
Gad1-F-400172,861237679,0.6
Gad1-F-400249,948709216,0.7
Gad1-F-400303,860905614,0.8
Gad1-F-600135,1230026228,0.8
Gad1-F-700047,1167982211,0.8
Gad1-F-700047,1230026402,0.8
Gad1-F-700113,5813033535,0.7
Gad1-F-900080,667931999,0.7
TH-M-700001,5813054384,0.7
TH-M-700001,947573616,0.6
Trh-F-000011,329289084,0.8
Trh-F-000011,5813019588,0.8
Trh-F-200007,947685488,0.9
Trh-F-200053,946308203,0.8
Trh-F-200053,5813055834,0.8
Trh-F-300042,326530038,0.9
Trh-F-300066,575845494,0.7
Trh-F-300072,5813054384,0.7
Trh-F-300072,947573616,0.6
Trh-F-300137,1070426862,0.8
Trh-M-000023,5813054384,0.7
Trh-M-000023,5813021112,0.5
Trh-M-000077,5813057579,0.5
Trh-M-000077,5813054384,0.7
Trh-M-000093,5813055834,0.7
Trh-M-000119,5813054384,0.7
Trh-M-000119,947573616,0.6
Trh-M-000140,5813054384,0.7
Trh-M-000140,1406911688,0.4
Trh-M-100022,548712377,0.8
Trh-M-100022,330640044,0.3
Trh-M-100080,329289084,0.7
Trh-M-100080,452029745,0.7
Trh-M-200041,297251714,0.6
Trh-M-200041,296139882,0.6
Trh-M-200071,5813061495,0.2
Trh-M-300085,362507326,0.4
Trh-M-300128,5813049824,0.5
Trh-M-300128,5813061495,0.5
Trh-M-400037,5813049824,0.2
VGlut-F-000077,550404663,0.7
VGlut-F-000077,424918786,0.3
VGlut-F-000091,739256609,0.8
VGlut-F-000132,925008763,0.7
VGlut-F-000132,708290604,0.7
VGlut-F-000410,1313849992,0.7
VGlut-F-000419,5813052909,0.7
VGlut-F-100237,5901232053,0.2
VGlut-F-200048,799868224,0.8
VGlut-F-200478,1230026228,0.6
VGlut-F-200478,1167645523,0.6
VGlut-F-200594,5813058048,0.8
VGlut-F-400014,550404663,0.7
VGlut-F-400014,5813011443,0.2
VGlut-F-400502,5813056054,0.6
VGlut-F-400502,486194398,0.6
VGlut-F-500430,485249150,0.5
VGlut-F-700399,1255630350,0.7
VGlut-F-900076,859265651,0.2
VGlut-F-900076,388975834,0.2
fru-F-100022,298258399,0.7
fru-F-100059,949986251,0.7
fru-F-100059,1293468282,0.7
fru-F-200173,1292713151,0.7
fru-F-300172,5901193671,0.8
fru-F-500250,550750102,0.7
fru-M-000087,925008763,0.7
fru-M-000174,550326974,0.6
fru-M-000202,267551639,0.7
fru-M-400120,267214250,0.9
VGlut-F-100374,1888199872,0.8
VGlut-F-100374,5813034455,0.8
VGlut-F-700261,5813047489,0.7
VGlut-F-700261,5813057579,0.0
TH-M-300032,5813020735,0.8
VGlut-F-400641,1312061760,0.8
TH-F-100111,792040520,0.9
fru-M-300332,673776769,0.3
Gad1-F-600594,1667251683,0.4
fru-M-500322,5813021602,0.1
fru-M-100277,390331583,0.7
Trh-M-200100,1888199872,0.1
Trh-M-200100,5813034455,0.1
fru-M-200408,5813054384,0.7
fru-M-200408,1378251040,0.6
5HT1A-F-300000,1351065769,0.9
fru-M-200273,550326974,0.6
fru-M-200357,1325133618,0.8
VGlut-F-500164,550404663,0.8
VGlut-F-500164,674882250,0.4
VGlut-F-000232,5813054384,0.9
Gad1-F-700255,1012112513,0.9
Gad1-F-700255,946658448,0.9
fru-M-000339,5813019588,0.8
fru-M-000339,329289084,0.8
Gad1-F-600304,5813054622,0.7
Gad1-F-600304,5813054777,0.7
Gad1-F-800572,5813013574,0.8
Gad1-F-800572,1044701474,0.7
VGlut-F-200250,5813020996,0.9
VGlut-F-400320,5813039309,0.0
VGlut-F-400320,1671257931,0.0
Gad1-F-700282,547552266,0.9
Gad1-F-700282,518930199,0.7
TH-F-000028,5813054384,0.9
TH-F-000028,5813021112,0.7
VGlut-F-500428,1639886198,0.0
5HT1A-F-400024,1313849992,0.9
VGlut-F-600323,1130458829,0.9
VGlut-F-600323,1005624122,0.9
fru-M-200271,925008763,0.8
Trh-F-100069,823058891,0.4
Trh-F-100069,5813054384,0.9
fru-M-700205,361005850,0.0
TH-F-100113,5813054384,0.9
TH-F-100113,797442049,0.1
VGlut-F-600091,1130458829,0.8
TH-F-000000,5813054622,0.2
TH-F-000000,5813054777,0.2
Gad1-F-600218,5813054077,0.8
Gad1-F-600218,1105459542,0.7
VGlut-F-500523,975289165,0.8
VGlut-F-500523,944249308,0.8
Trh-M-200022,388975834,0.2
Trh-M-200022,297938585,0.8
Trh-F-100023,823058891,0.0
Trh-F-100023,5813054384,0.8
5HT1A-F-700024,975289165,0.8
5HT1A-F-700024,1130458829,0.8
fru-M-800110,550326974,0.8
fru-M-300325,5813021602,0.3
fru-M-300325,361005850,0.3
Gad1-F-000162,543256347,0.6
fru-M-900070,5813019588,0.8
fru-M-900070,946641212,0.8
Trh-F-200112,203253253,0.9
VGlut-F-600711,5813034455,0.6
VGlut-F-600711,1667251683,0.5
Gad1-F-100112,5813056917,0.8
VGlut-F-300246,5813054384,0.9
VGlut-F-300246,947573616,0.3
5-HT1B-F-500017,1946178096,0.5
5-HT1B-F-500017,5813054622,0.6
fru-M-100291,298258399,0.8
TH-M-000047,5813060068,0.6
Trh-M-100060,297230760,0.9
TH-F-100109,5813054384,0.9
TH-F-100109,797442049,0.3
VGlut-F-500200,1130458829,0.8
VGlut-F-500200,944249308,0.8
TH-M-200092,297183251,0.8
TH-M-200092,5813081818,0.8
fru-M-000376,5813019588,0.7
fru-M-000376,5813055834,0.7
VGlut-F-700170,1702651358,0.0
VGlut-F-700170,1640922754,0.0
Gad1-F-200472,1888199872,0.5
Gad1-F-200472,1702306037,0.0
TH-F-200090,1224941044,0.9
TH-F-200090,1224595273,0.9
Gad1-F-600604,1793403571,0.9
VGlut-F-400233,975289165,0.8
VGlut-F-400233,1130458829,0.8
Gad1-F-600267,911574041,0.8
TH-F-000046,604289581,0.4
TH-F-000046,550404663,0.4
TH-F-200114,5813054384,0.8
TH-F-200114,1352676969,0.3
fru-M-800105,550326974,0.6
Cha-F-000239,5813054777,0.0
Cha-F-000239,1640572741,0.0
VGlut-F-500239,5813055632,0.8
Gad1-F-700167,5901196806,0.8
Gad1-F-700167,2135408892,0.0
VGlut-F-300554,1702651358,0.0
VGlut-F-300554,5813039309,0.0
TH-M-200070,1035601661,0.9
fru-M-200345,731736853,0.9
Trh-F-200030,1888199872,0.0
Trh-F-200030,5813034455,0.0
VGlut-F-100118,1313849992,0.8
